source_name,source_type,approved_url,approval_basis,ingestion_status,notes
Pacific Lake Partners,search fund investor portfolio,https://www.pacificlake.com/operating-companies,Kay provided URL,source_complete_company_list_extracted,"Structured operating-company page includes company names, websites, sector, status, investment year, and descriptions for visible rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
BK Growth,search fund investor portfolio,https://www.bkgrowth.com/portfolio,Kay provided URL,source_complete_company_list_extracted,Portfolio page is logo/gallery based; underlying approved page HTML exposes company title and outbound website links but little business-model detail. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15.
TTCER Partners,search fund investor group,https://ttcerpartners.com/,Kay provided URL,source_complete_company_list_extracted,"Home page lists select partners by logo/name and states thesis emphasis on organic growth, recurring revenues, and attractive cash flow. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Saltoun Capital Partners,search fund investor / ETA and vertical software investor portfolio,https://www.saltouncapital.com/portfolio,Kay provided URL,source_complete_company_list_extracted,Portfolio page states focus on vertical market software and ETA/search funds; many rows overlap with BK Growth and provide investor/searcher plus investment date context. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15.
Anacapa Partners,search fund investor portfolio,https://anacapapartners.com/site/global/anacapa/portfolio/index.gsp,Kay provided URL,source_complete_company_list_extracted,Portfolio page includes operating companies and search funds with company websites and short descriptions; promoted clear G&B-relevant rows first. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15.
WSC & Company,search fund investor portfolio,https://wscandcompany.com/portfolio/,Kay provided URL,source_complete_company_list_extracted,Large portfolio page with operating companies and entrepreneurs; currently promoted high-signal operating-company rows only. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15.
Trilogy Search Partners,search fund investor portfolio,https://trilogy-search.com/portfolio,Kay provided URL,source_complete_company_list_extracted,"Portfolio page provides company descriptions, HQ, sector filters, and websites; promoted clear G&B-relevant rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Search Fund Partners,search fund investor portfolio,https://www.searchfunds.net/portfolio,Kay provided URL,source_complete_company_list_extracted,"Portfolio page provides company descriptions, status, CEO/investment context, and websites; promoted clear G&B-relevant rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Relay Investments,search fund investor portfolio,https://www.relayinvestments.com/portfolio,Kay provided URL,source_complete_company_list_extracted,Large global portfolio page with search funds and operating companies; promoted clear G&B-relevant operating-company rows only. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15.
Hunter Search Capital,search fund investor portfolio,https://www.huntersearchcapital.com/portfolio-companies,Kay provided URL,source_complete_company_list_extracted,"Portfolio page provides company names, sectors, entrepreneurs, stage, and investment years; promoted clear G&B-relevant rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Endurance Search Partners,search fund investor portfolio,https://www.endurancesearchpartners.com/investments,Kay provided URL,source_complete_company_list_extracted,"Investments page provides descriptions, sector, status, year, industry, and company websites; promoted clear G&B-relevant rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Next Coast Ventures,venture portfolio,https://www.nextcoastventures.com/portfolio,Kay provided URL,source_complete_company_list_extracted,"Broader venture portfolio, not search-fund-specific; promoted only thesis-relevant B2B workflow, safety, compliance, and industrial rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Futaleufu Partners,search fund investor references,https://futaleufu-partners.com/our-investments/,Kay provided URL,source_complete_company_list_extracted,"Reference page lists entrepreneurs and companies, often with outbound company links in modal text; used as corroborating source and selective seed input. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Maven Equity Partners,search fund investor portfolio,https://www.mavenequitypartners.com/portfolio,Kay provided URL,source_complete_company_list_extracted,"Portfolio page lists 59 investments by company, category, and website; promoted high-signal services/software/industrial rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Peterson Partners,multi-strategy portfolio including search funds,https://www.petersonpartners.com/portfolio/,Kay provided URL,source_complete_company_list_extracted,Broad portfolio page names venture/search/private-equity investments; promoted only cross-source high-signal names and marked limited company-level detail. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15.
Footbridge Partners,search fund investor portfolio,https://www.footbridgepartners.com/investments,Kay provided URL,source_complete_company_list_extracted,Investments page lists current portfolio companies and active search funds with outbound links; mostly used as corroborating source and selective seed input. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15.
M2O Inc.,multi-strategy search/ETA-related portfolio,https://www.m2oinc.com/our-portfolio/,Kay provided URL,source_complete_company_list_extracted,"Portfolio page provides company websites, CEOs, investment years, industries, business models, and descriptions; promoted high-signal rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
Aspect Investors,search fund investor operating-company portfolio,https://www.aspectinvestors.com/operating-companies/,Kay provided URL,source_complete_company_list_extracted,"Operating-company page provides company names, concise business descriptions, and websites; promoted clear G&B-relevant rows. Source-complete company/entity list extracted into Portfolio Database and Source Company List on 2026-06-15."
