tab,attio_company_id,firm_name,website,hq_city,hq_state,categories,description_short,lead_contact_name,lead_contact_title,lead_contact_email,last_interaction,connection_strength,in_existing_82_list,notes
IBs,02d5b2db-90fd-4acf-94fd-5f3d82170a17,Buyouts,mail.buyoutsinsider.com,,Texas,B2B; Consulting & Professional Services; Financial Services; Investment Banking; Market Research; Media; Publishing; SAAS; Venture Capital,"Buyouts is a leading authority in the U.S. mid-market private equity sector, offering exclusive news, insights, and data to help professionals navigate trends in leveraged buyouts and private equity i",,,,,,N,
IBs,0a9fabe8-a62d-440f-8c4e-4fcc4a44079a,Eight Quarter Advisors,eightquarteradvisors.com,Denver,Colorado,B2B; B2C; Consulting & Professional Services; Corporate & Business; Finance; Insurance; Investment Banking; Marketplace; Venture Capital,Eight Quarter Advisors is a boutique investment banking firm with over 40 years of collective transaction experience. They specialize in helping business owners maximize the return on their hard work ,,,,,,N,In Outreach: Intermediary Pipeline (Actively Receiving Deal Flow)
IBs,1baaca3c-1eac-4eb3-bca3-099b281ab3f2,Business Exits,businessexits.com,West Hollywood,California,B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Insurance; Investment Banking; Marketplace,"Business Exits: Experts in selling $2M-$50M revenue companies, aligning key drivers for maximum value, and connecting sellers with premium investors.",,,,,,Y,In Outreach: Intermediary Pipeline (Actively Receiving Deal Flow)
IBs,1bf25ec4-3022-40dd-8764-a149c82e5f35,DealForce,dealforce.com,Dallas,Texas,B2B; B2C; Consulting & Professional Services; Corporate & Business; Finance; Financial Services; Insurance; Investment Banking; Marketplace,"DealForce is a financial services company which specializes in Acquisitions, Mergers, Investment Banking.",,,,,,Y,In Outreach: Intermediary Pipeline (Daily Check in on Matches)
IBs,1e5545dc-4c54-4330-98bd-c6f15b259712,Benchmark International,benchmarktennessee.com,Tampa,Florida,B2B; B2C; Consulting & Professional Services; Corporate & Business; Finance; Insurance; Investment Banking,"Benchmark International works exclusively as a sell side M&A firm for middle market companies. Our clients are seeking full exits while others are seeking equity partners or elevator deals. However, t",,,,,,Y,
Lawyers,1f61502d-ddb2-46e6-8485-b07649054760,Barlow & Williams,barlowwilliams.law,Durham,North Carolina,B2B; Consulting & Professional Services; Corporate & Business; Investment Banking; Legal Services; Marketplace,"Barlow & Williams is a startup and business law firm that provides legal counsel to startups, emerging companies, and private funds. They specialize in advising on M&A activities and guiding buyers an",,,,,,N,
IBs,357df51a-3a23-4b89-be6a-d0313c8642ab,Morgan Stanley,ms.com,New York,New York,Asset Management; B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Investment Banking,"Morgan Stanley provides a comprehensive range of financial services, including investment banking, securities, investment management, and wealth management, aimed at helping individuals, families, ins",,,,,,N,
IBs,387ca13d-b67b-4ea2-af3b-0843718522ed,Peapack Private,peapackprivate.com,Bedminster,New Jersey,B2B; B2C; Consulting & Professional Services; Finance; Investment Banking,"Peapack Private offers personal, commercial, wealth, and investment banking solutions in the Tri State Area. They provide exceptional attention, trusted advice, and customized banking services tailore",,,,,,N,
IBs,3b8b4f5b-7675-4a11-914a-adfe2173fd37,UBS (1),ubs.com,ZÃ¼rich,ZÃ¼rich,B2B; B2C; Consulting & Professional Services; Enterprise; Finance; Financial Services; Investment Banking,UBS is a global firm providing financial services in over 50 countries. Visit our site to find out what we offer in the United States of America.,,,,,,N,
IBs,416ded43-84f2-43ab-96cd-dc0f25e7608c,Paine Pacific,painepacific.com,Portland,Oregon,B2B; Consulting & Professional Services; Investment Banking,"Paine Pacific, Business Growth Advisory, Mergers and Acquisitions, Project Management, Portland Oregon",,,,,,Y,In Outreach: Intermediary Pipeline (Identified)
IBs,543dd3ab-af90-4363-93d2-f58d59513fe3,Karakoram Capital,karakoramcapital.com,Dubai,Dubai,Asset Management; B2C; Finance; Financial Services; Insurance; Investment; Investment Banking; Real Estate; Venture Capital,"Karakoram Capital is an investment advisory firm based in London and Dubai, managed by a team of experienced entrepreneurs, investors, and operators. Backed by a group of leading global investors, the",,,,,,N,
IBs,717c36ba-ce46-4cef-9ab4-237428746153,Benchmark International,embracebenchmark.com,Tampa,Florida,B2B; B2C; Consulting & Professional Services; Corporate & Business; Finance; Insurance; Investment Banking,"Benchmark International works exclusively as a sell side M&A firm for middle market companies. Our clients are seeking full exits while others are seeking equity partners or elevator deals. However, t",,,,,,Y,
IBs,750ddd44-8f37-47c5-92d0-2ff183eecee0,Morgan Stanley,morganstanley.com,New York,New York,Asset Management; B2B; B2C; Consulting & Professional Services; Finance; Financial Services; Investment Banking,"Morgan Stanley provides a comprehensive range of financial services, including investment banking, securities, investment management, and wealth management, aimed at helping individuals, families, ins",,,,,,N,
