investor_firm,source_portfolio_url,portfolio_company,portfolio_company_website,industry,niche,business_model,customer_type,geography,recurring_revenue_signal,service_criticality_signal,fragmentation_signal,acquisition_search_context,gb_relevance,follow_up_research_needed,source_confidence,curation_status
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Banyan,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Central Storage & Warehouse,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Datacor,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Calyx Senior Living,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Eleven Software,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Stanley Ruth,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Skillwell,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Morningside,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,Kantola,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
Pacific Lake Partners,https://www.pacificlake.com/operating-companies,NovoPath,,Unknown from approved source,Operating companies,Unknown from approved source,Unknown from approved source,Unknown from approved source,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Unknown from approved source; requires enrichment,Listed on Kay-approved source page (Operating companies; item type: operating company).,Preserve for pattern recognition; fit not yet assessed.,"Enrich website, industry, niche, customer type, revenue model, recurrence, criticality, fragmentation, and acquisition context from approved primary sources.",Medium,source_complete_unfiltered
